x,y,z,us_mag_0,noise_values,us_mag_noisy
0.011520811,0.013029839,0.005149718,0.023436418,0.000744893,0.024181311
0.004856717,0.010233432,0.011481327,0.014296465,0.005155146,0.019451611
0.005948681,0.011258796,0.011188026,0.021339583,-0.006207771,0.015131812
0.005840087,0.01068254,0.011246432,0.016640438,-0.004044372,0.012596066
0.005775384,0.01176623,0.01021703,0.017064417,0.002360713,0.01942513
0.003952849,0.011234938,0.009449441,0.007210673,0.003542732,0.010753405
0.004655249,0.008799945,0.013477261,0.008382816,0.003956522,0.012339338
0.01547564,0.015253422,0.008643253,0.036205102,0.001030683,0.037235785
0.015550421,0.016144821,0.007987965,0.030894675,0.003567573,0.034462248
0.016117346,0.015608443,0.00686246,0.019093656,-0.001233841,0.017859815
